File,StartLine,EndLine,ConfigExpr,ConfigList,ConfigValues,Effective
linux-6.18-rc3/arch/riscv/mm/pmem.c,14,18,CONFIG_RISCV_NONSTANDARD_CACHE_OPS,CONFIG_RISCV_NONSTANDARD_CACHE_OPS,CONFIG_RISCV_NONSTANDARD_CACHE_OPS=y,True
linux-6.18-rc3/arch/riscv/mm/pmem.c,26,30,CONFIG_RISCV_NONSTANDARD_CACHE_OPS,CONFIG_RISCV_NONSTANDARD_CACHE_OPS,CONFIG_RISCV_NONSTANDARD_CACHE_OPS=y,True
linux-6.18-rc3/arch/riscv/mm/tlbflush.c,209,222,CONFIG_TRANSPARENT_HUGEPAGE,CONFIG_TRANSPARENT_HUGEPAGE,CONFIG_TRANSPARENT_HUGEPAGE=y,True
linux-6.18-rc3/arch/riscv/mm/cacheflush.c,12,96,CONFIG_SMP,CONFIG_SMP,CONFIG_SMP=y,True
linux-6.18-rc3/arch/riscv/mm/cacheflush.c,99,108,CONFIG_MMU,CONFIG_MMU,CONFIG_MMU=y,True
linux-6.18-rc3/arch/riscv/mm/cacheflush.c,179,198,CONFIG_SMP,CONFIG_SMP,CONFIG_SMP=y,True
linux-6.18-rc3/arch/riscv/mm/cacheflush.c,248,279,CONFIG_SMP,CONFIG_SMP,CONFIG_SMP=y,True
linux-6.18-rc3/arch/riscv/mm/cacheflush.c,280,287,!(CONFIG_SMP),CONFIG_SMP,CONFIG_SMP=y,False
linux-6.18-rc3/arch/riscv/mm/kasan_init.c,444,449,CONFIG_KASAN_VMALLOC,CONFIG_KASAN_VMALLOC,CONFIG_KASAN_VMALLOC=y,True
linux-6.18-rc3/arch/riscv/mm/hugetlbpage.c,5,406,CONFIG_RISCV_ISA_SVNAPOT,CONFIG_RISCV_ISA_SVNAPOT,CONFIG_RISCV_ISA_SVNAPOT=y,True
linux-6.18-rc3/arch/riscv/mm/hugetlbpage.c,407,413,!(CONFIG_RISCV_ISA_SVNAPOT),CONFIG_RISCV_ISA_SVNAPOT,CONFIG_RISCV_ISA_SVNAPOT=y,False
